weather_penalty_sec,distance_km,weather,cost_dollars,total_cost_sec,time_window_penalty_sec,traffic_penalty_sec,from,base_time_sec,to
186.71999999999997,7.29,snow,12.72,763.3876388764672,0,109.86763887646731,0,466.8,5
72.06,2.61,fog,55.47,3328.001899701311,2940.0,75.74189970131064,5,240.2,3
175.13999999999996,10.14,rain,914.96,54897.80242768415,53700.0,146.96242768415084,3,875.7,1
0.0,21.0,clear,358.7,21522.064844463355,19500.0,114.5648444633546,1,1907.5,10
307.08000000000004,10.0,fog,240.56,14433.706850864237,13020.0,83.02685086423608,10,1023.6,8
355.4,8.48,storm,704.57,42274.371847994036,41100.0,108.17184799403692,8,710.8,4
258.47999999999996,7.91,snow,132.63,7957.776263398083,6960.0,93.09626339808261,4,646.2,7
247.89000000000001,8.56,fog,585.73,35143.79330925078,33900.0,169.60330925077852,7,826.3,6
308.46000000000004,11.25,fog,784.27,47056.04580760639,45540.0,179.38580760638462,6,1028.2,2
238.59999999999994,14.76,rain,480.66,28839.658980323988,27300.0,108.05898032398778,2,1193,9
297.5999999999999,9.79,snow,18.88,1132.5895262886652,0,90.98952628866525,9,744,0
