weather_penalty_sec,distance_km,weather,cost_dollars,total_cost_sec,time_window_penalty_sec,traffic_penalty_sec,from,base_time_sec,to
85.6,2.26,storm,717.95,43077.222619159744,42660,160.42261915974407,0,171.2,4
153.93999999999997,8.86,rain,815.18,48910.94237866839,47880.0,107.30237866839317,4,769.7,2
0.0,5.78,clear,883.11,52986.492268350725,52260.0,123.59226835072542,2,602.9,1
176.61999999999998,11.21,rain,18.86,1131.7934156013398,0,72.07341560133985,1,883.1,5
645.3999999999999,19.55,snow,339.81,20388.505812457937,18060.0,69.60581245793696,5,1613.5,10
370.29,14.3,fog,587.88,35272.903088948005,33540.0,128.31308894800458,10,1234.3,6
249.35,5.5,storm,476.4,28584.13589757488,27720.0,116.08589757488119,6,498.7,9
247.75,5.54,storm,190.14,11408.591824313467,10560.0,105.34182431346792,9,495.5,8
336.0399999999999,9.48,snow,108.84,6530.382959350809,5220.0,134.2429593508095,8,840.1,7
276.75,4.58,storm,15.78,946.6437194699862,0,116.39371946998615,7,553.5,3
88.25999999999998,6.06,rain,11.71,702.8054479520899,0,173.24544795208988,3,441.3,0
